n_dofs,t_final,L1_error,L2_error,Linf_error,precision,refinement,subdivisions_x
1089,2.0000000000000000e+00,9.4929156397815326e-03,1.9157476198950439e-02,6.7657960761375077e-02,float,0,32
4225,2.0000000000000000e+00,2.0252525577144809e-03,3.9814970050724968e-03,1.9688676501822731e-02,float,0,64
16641,2.0000000000000000e+00,5.9656611899214945e-04,9.8722943419271374e-04,3.6703951836473789e-03,float,0,128
66049,2.0000000000000000e+00,1.3246656781708394e-04,2.0995578645243259e-04,9.5603188312103418e-04,float,0,256
